id,name,klub_short
001,Andrzej Adamczyk,PiS
002,Rafał Adamczyk,Lewica
003,Piotr Adamowicz,KO
004,Romuald Ajchler,Lewica
469,Zbigniew Ajchler,niez.
005,Adam Andruszkiewicz,PiS
006,Waldemar Andzel,PiS
007,Tomasz Aniśko,KO
008,Jan Krzysztof Ardanowski,PiS
009,Iwona Arent,PiS
010,Marek Ast,PiS
011,Urszula Augustyn,KO
012,Tadeusz Aziewicz,KO
013,Zbigniew Babalski,PiS
014,Piotr Babinetz,PiS
015,Ryszard Bartosik,PiS
016,Władysław Teofil Bartoszewski,KP
017,Barbara Bartuś,PiS
018,Mieczysław Baszko,PiS
019,Dariusz Bąk,PiS
020,Paweł Bejda,KP
021,Konrad Berkowicz,Konfederacja
022,Magdalena Biejat,Lewica
023,Jerzy Bielecki,PiS
024,Marek Biernacki,KP
025,Mariusz Błaszczak,PiS
026,Mateusz Bochenek,KO
027,Rafał Bochenek,PiS
028,Jerzy Borowczak,KO
029,Joanna Borowiak,PiS
030,Kamil Bortniczuk,PiS
031,Piotr Borys,KO
032,Bożena Borys-Szopa,PiS
033,Krzysztof Bosak,Konfederacja
034,Grzegorz Braun,Konfederacja
035,Waldemar Buda,PiS
036,Borys Budka,KO
037,Stanisław Bukowiec,Porozumienie
038,Lidia Burzyńska,PiS
039,Wiesław Buż,Lewica
040,Małgorzata Chmiel,KO
041,Zbigniew Chmielowiec,PiS
042,Kazimierz Choma,PiS
043,Dominika Chorosińska,PiS
044,Tadeusz Chrzan,PiS
045,Anna Ewa Cicholska,PiS
046,Janusz Cichoń,KO
047,Michał Cieślak,PiS
048,Tadeusz Cymański,PiS
049,Adam Cyrański,KO
050,Krzysztof Czarnecki,PiS
051,Przemysław Czarnecki,PiS
052,Witold Czarnecki,PiS
053,Przemysław Czarnek,PiS
054,Arkadiusz Czartoryski,PiS
055,Włodzimierz Czarzasty,Lewica
056,Jacek Czerniak,Lewica
057,Zofia Czernow,KO
058,Anita Czerwińska,PiS
059,Katarzyna Czochara,PiS
060,Eugeniusz Czykwin,KO
061,Władysław Dajczak,PiS
062,Anna Dąbrowska-Banaszek,PiS
063,Leszek Dobrzyński,PiS
064,Zbigniew Dolata,PiS
065,Barbara Dolniak,KO
066,Bartłomiej Dorywalski,PiS
067,Przemysław Drabek,PiS
068,Elżbieta Duda,PiS
069,Jan Duda,PiS
070,Marcin Duszek,PiS
071,Michał Dworczyk,PiS
072,Marek Dyduch,Lewica
073,Artur Dziambor,Konfederacja
074,Jan Dziedziczak,PiS
075,Agnieszka Dziemianowicz-Bąk,Lewica
076,Waldy Dzikowski,KO
077,Barbara Dziuk,PiS
078,Jadwiga Emilewicz,PiS
079,Joanna Fabisiak,KO
080,Monika Falej,Lewica
081,Jolanta Fedak,KP
082,Magdalena Filiks,KO
083,Ewa Filipiak,PiS
084,Radosław Fogiel,PiS
085,Joanna Frydrych,KO
086,Konrad Frysztak,KO
087,Krzysztof Gadowski,KO
088,Aleksandra Gajewska,KO
089,Kinga Gajewska,KO
090,Leszek Galemba,PiS
091,Ryszard Galla,niez.
092,Elżbieta Gapińska,KO
093,Kamila Gasiuk-Pihowicz,KO
094,Adam Gawęda,PiS
095,Krzysztof Gawkowski,Lewica
096,Andrzej Gawron,PiS
097,Grzegorz Gaża,PiS
098,Maciej Gdula,Lewica
099,Elżbieta Gelert,KO
100,Anna Gembicka,PiS
101,Hanna Gill-Piątek,Polska2050
102,Zbigniew Girzyński,PS
103,Szymon Giżyński,PiS
104,Teresa Glenc,PiS
105,Piotr Gliński,PiS
106,Tomasz Głogowski,KO
107,Marta Golbik,KO
108,Małgorzata Golińska,PiS
109,Kazimierz Gołojuch,PiS
110,Jarosław Gonciarz,PiS
111,Robert Gontarz,PiS
464,Mariusz Gosek,PiS
112,Daria Gosek-Popiołek,Lewica
113,Małgorzata Gosiewska,PiS
114,Jarosław Gowin,Porozumienie
115,Agnieszka Górska,PiS
116,Maciej Górski,PiS
117,Cezary Grabarczyk,KO
118,Krzysztof Grabczuk,KO
119,Jan Grabiec,KO
120,Michał Gramatyka,Polska2050
121,Marek Gróbarczyk,PiS
122,Rafał Grupiński,KO
123,Andrzej Grzyb,KP
124,Andrzej Gut-Mostowy,PiS
125,Kazimierz Gwiazdowski,PiS
126,Marcin Gwóźdź,PiS
127,Riad Haidar,KO
128,Teresa Hałas,PiS
129,Agnieszka Hanajczyk,KO
130,Jerzy Hardie-Douglas,KO
131,Iwona Hartwich,KO
132,Paulina Hennig-Kloska,Polska2050
133,Czesław Hoc,PiS
134,Zbigniew Grzegorz Hoffmann,PiS
135,Marek Hok,KO
136,Marcin Horała,PiS
137,Paweł Hreniak,PiS
138,Arkadiusz Iwaniak,Lewica
139,Michał Jach,PiS
140,Klaudia Jachira,KO
141,Wiesław Janczyk,PiS
142,Małgorzata Janowska,PiS
143,Maria Małgorzata Janyska,KO
144,Michał Jaros,KO
145,Joanna Jaśkowiak,KO
146,Dariusz Joński,KO
147,Norbert Kaczmarczyk,PiS
148,Filip Kaczyński,PiS
149,Jarosław Kaczyński,PiS
150,Piotr Kaleta,PiS
151,Sebastian Kaleta,PiS
152,Mariusz Kałużny,PiS
153,Krystian Kamiński,Konfederacja
154,Mariusz Kamiński,PiS
155,Jan Kanthak,PiS
156,Fryderyk Kapinos,PiS
157,Mieczysław Kasprzak,KP
158,Małgorzata Kidawa-Błońska,KO
159,Marcin Kierwiński,KO
160,Dariusz Klimczak,KP
161,Joanna Kluzik-Rostkowska,KO
162,Lech Kołakowski,PiS
163,Ewa Kołodziej,KO
164,Maciej Konieczny,Lewica
165,Zbigniew Konwiński,KO
166,Przemysław Koperski,Lewica
167,Maciej Kopiec,Lewica
168,Janusz Korwin-Mikke,Konfederacja
169,Władysław Kosiniak-Kamysz,KP
170,Wojciech Kossakowski,PiS
171,Tomasz Kostuś,KO
172,Andrzej Kosztowniak,PiS
173,Katarzyna Kotula,Lewica
174,Paweł Kowal,KO
175,Henryk Kowalczyk,PiS
176,Janusz Kowalski,PiS
177,Bartosz Kownacki,PiS
178,Ewa Kozanecka,PiS
179,Krzysztof Janusz Kozik,PiS
180,Iwona Maria Kozłowska,KO
181,Jarosław Krajewski,PiS
182,Stefan Krajewski,KP
183,Wiesław Krajewski,PiS
184,Leonard Krasulski,PiS
185,Michał Krawczyk,KO
186,Katarzyna Kretkowska,Lewica
187,Robert Kropiwnicki,KO
188,Piotr Król,PiS
189,Wojciech Król,KO
190,Anna Krupka,PiS
191,Paweł Krutul,Lewica
192,Andrzej Kryj,PiS
193,Marek Krząkała,KO
194,Henryka Krzywonos-Strycharska,KO
195,Marta Kubiak,PiS
196,Krzysztof Kubów,PiS
197,Anita Kucharska-Dziedzic,Lewica
198,Marek Kuchciński,PiS
199,Paweł Kukiz,Kukiz15
200,Marcin Kulasek,Lewica
201,Jakub Kulesza,Konfederacja
202,Maria Kurowska,PiS
203,Władysław Kurowski,PiS
204,Dariusz Kurzawa,KP
462,Jacek Kurzępa,PiS
205,Robert Kwiatkowski,Lewica
206,Anna Kwiecień,PiS
207,Marek Kwitek,PiS
208,Maciej Lasek,KO
209,Tomasz Latos,PiS
210,Gabriela Lenartowicz,KO
211,Ewa Leniart,PiS
212,Tomasz Lenz,KO
213,Izabela Leszczyna,KO
214,Joanna Lichocka,PiS
215,Krzysztof Lipiec,PiS
216,Adam Lipiński,PiS
217,Paweł Lisiecki,PiS
218,Grzegorz Lorek,PiS
219,Radosław Lubczyk,KP
220,Katarzyna Lubnauer,KO
221,Tomasz Ławniczak,PiS
222,Artur Łącki,KO
223,Jan Łopata,KP
224,Magdalena Łośko,KO
225,Marzena Machałek,PiS
226,Beata Maciejewska,Lewica
227,Antoni Macierewicz,PiS
228,Wojciech Maksymowicz,Polska2050
229,Marlena Magdalena Maląg,PiS
230,Ewa Malik,PiS
231,Mirosław Maliszewski,KP
232,Jerzy Małecki,PiS
233,Maciej Małecki,PiS
234,Arkadiusz Marchewka,KO
235,Jagna Marczułajtis-Walczak,KO
236,Gabriela Masłowska,PiS
237,Jerzy Materna,PiS
238,Beata Mateusiak-Pielucha,PiS
239,Grzegorz Matusiak,PiS
240,Marek Matuszewski,PiS
241,Kazimierz Matuszny,PiS
242,Paulina Matysiak,Lewica
466,Łukasz Mejza,niez.
243,Iwona Michałek,Porozumienie
244,Krzysztof Mieszkowski,KO
245,Anna Milczanowska,PiS
246,Daniel Milewski,PiS
247,Rajmund Miller,KO
248,Aleksander Miszalski,KO
249,Mateusz Morawiecki,PiS
250,Jan Mosiński,PiS
251,Kazimierz Moskal,PiS
252,Czesław Mroczek,KO
253,Aleksander Mrówczyński,PiS
254,Izabela Katarzyna Mrzygłocka,KO
255,Joanna Mucha,Polska2050
256,Arkadiusz Mularczyk,PiS
257,Piotr Müller,PiS
258,Killion Munyama,KO
259,Wojciech Murdzek,PiS
260,Arkadiusz Myrcha,KO
261,Grzegorz Napieralski,KO
262,Sławomir Neumann,KO
263,Dorota Niedziela,KO
264,Małgorzata Niemczyk,KO
265,Sławomir Nitras,KO
266,Barbara Nowacka,KO
267,Tomasz Piotr Nowak,KO
268,Danuta Nowicka,PiS
269,Wanda Nowicka,Lewica
270,Urszula Nowogórska,KP
271,Mirosława Nykiel,KO
272,Robert Obaz,Lewica
273,Marcin Ociepa,PiS
274,Marzena Okła-Drewnowicz,KO
461,Waldemar Olejniczak,PiS
275,Tomasz Olichwer,KO
276,Dariusz Olszewski,PiS
277,Paweł Olszewski,KO
468,Adam Ołdakowski,PiS
278,Marek Opioła,PiS
279,Katarzyna Osos,KO
280,Jacek Osuch,PiS
281,Jacek Ozdoba,PiS
282,Anna Paluch,PiS
283,Teresa Pamuła,PiS
284,Paweł Papke,KO
285,Urszula Pasławska,KP
286,Krzysztof Paszyk,KP
287,Jerzy Paul,PiS
288,Karolina Pawliczak,Lewica
289,Monika Pawłowska,Porozumienie
290,Małgorzata Pępek,KO
291,Krzysztof Piątkowski,KO
292,Bolesław Piecha,PiS
293,Sławomir Jan Piechota,KO
294,Grzegorz Piechowiak,PiS
295,Anna Pieczarka,PiS
296,Katarzyna Maria Piekarska,KO
297,Dariusz Piontkowski,PiS
298,Kazimierz Plocke,KO
299,Kacper Płażyński,PiS
300,Elżbieta Płonka,PiS
465,Szymon Pogoda,PiS
301,Jerzy Polaczek,PiS
302,Marek Polak,PiS
303,Piotr Polak,PiS
304,Agnieszka Pomaska,KO
305,Paweł Poncyljusz,KO
306,Violetta Porowska,PiS
307,Marcin Porzucek,PiS
308,Małgorzata Prokop-Paczkowska,Lewica
309,Jacek Protas,KO
310,Jacek Protasiewicz,KP
311,Grzegorz Puda,PiS
312,Ireneusz Raś,KP
313,Zbigniew Rau,PiS
314,Monika Rosa,KO
315,Dariusz Rosati,KO
316,Andrzej Rozenek,Lewica
317,Urszula Rusecka,PiS
318,Grzegorz Rusiecki,KO
319,Marek Rutka,Lewica
320,Jakub Rutnicki,KO
321,Paweł Rychlik,PiS
322,Marek Rząsa,KO
323,Jarosław Rzepa,KP
324,Tomasz Rzymkowski,PiS
325,Jarosław Sachajko,Kukiz15
326,Piotr Sak,PiS
327,Wojciech Saługa,KO
328,Jacek Sasin,PiS
329,Marek Sawicki,KP
330,Grzegorz Schetyna,KO
331,Joanna Scheuring-Wielgus,Lewica
332,Anna Schmidt,PiS
333,Łukasz Schreiber,PiS
334,Małgorzata Sekuła-Szmajdzińska,Lewica
335,Jarosław Sellin,PiS
336,Joanna Senyszyn,Lewica
337,Edward Siarka,PiS
338,Anna Maria Siarkowska,PiS
339,Krystyna Sibińska,KO
340,Czesław Siekierski,KP
341,Tomasz Siemoniak,KO
342,Bartłomiej Sienkiewicz,KO
343,Zdzisław Sipiera,PiS
344,Krystyna Skowrońska,KO
345,Sławomir Skwarek,PiS
346,Waldemar Sługocki,KO
347,Kazimierz Smoliński,PiS
348,Krzysztof Sobolewski,PiS
349,Artur Soboń,PiS
350,Agnieszka Soin,PiS
351,Bogusław Sonik,KO
352,Andrzej Sośnierz,PS
353,Dobromir Sośnierz,Konfederacja
354,Marek Sowa,KO
355,Anita Sowińska,Lewica
356,Katarzyna Sójka,PiS
357,Magdalena Sroka,Porozumienie
358,Mirosława Stachowiak-Różecka,PiS
359,Dariusz Stefaniuk,PiS
360,Franciszek Sterczewski,KO
361,Beata Strzałka,PiS
362,Mirosław Suchoń,Polska2050
363,Marek Suski,PiS
364,Artur Szałabawka,PiS
365,Wojciech Szarama,PiS
366,Wiesław Szczepański,Lewica
367,Michał Szczerba,KO
368,Aleksandra Szczudło,PiS
369,Józefa Szczurek-Żelazko,PiS
370,Paweł Szefernaker,PiS
371,Andrzej Szejna,Lewica
372,Andrzej Szewiński,KO
463,Andrzej Szlachta,PiS
373,Adam Szłapka,KO
374,Jan Szopiński,Lewica
375,Paweł Szramka,PS
376,Krzysztof Szulowski,PiS
377,Krystyna Szumilas,KO
378,Łukasz Szumowski,PiS
379,Stanisław Szwed,PiS
380,Ewa Szymańska,PiS
381,Tomasz Szymański,KO
382,Szymon Szynkowski vel Sęk,PiS
383,Agnieszka Ścigaj,PS
384,Iwona Śledzińska-Katarasińska,KO
385,Krzysztof Śmiszek,Lewica
386,Janusz Śniadek,PiS
387,Adam Śnieżek,PiS
388,Jacek Świat,PiS
389,Dominik Tarczyński,PiS
390,Krzysztof Tchórzewski,PiS
391,Robert Telus,PiS
392,Ryszard Terlecki,PiS
393,Tadeusz Tomaszewski,Lewica
394,Włodzimierz Tomaszewski,PiS
395,Jacek Tomczak,KP
396,Cezary Tomczyk,KO
397,Małgorzata Tracz,KO
398,Tomasz Trela,Lewica
399,Mariusz Trepka,PiS
400,Krzysztof Truskolaski,KO
401,Krzysztof Tuduj,Konfederacja
402,Sylwester Tułajew,PiS
403,Stanisław Tyszka,Kukiz15
404,Robert Tyszkiewicz,KO
405,Katarzyna Ueberhan,Lewica
406,Jarosław Urbaniak,KO
407,Michał Urbaniak,Konfederacja
408,Piotr Uruski,PiS
409,Piotr Uściński,PiS
410,Jarosław Wałęsa,KO
411,Marcin Warchoł,PiS
412,Teresa Wargocka,PiS
413,Robert Warwas,PiS
414,Jan Warzecha,PiS
415,Anna Wasilewska,KO
416,Małgorzata Wassermann,PiS
417,Piotr Wawrzyk,PiS
418,Maciej Wąsik,PiS
419,Marta Wcisło,KO
420,Rafał Weber,PiS
421,Marek Wesoły,PiS
422,Patryk Wicher,PiS
423,Dariusz Wieczorek,Lewica
424,Monika Wielichowska,KO
425,Ryszard Wilczyński,KO
426,Jerzy Wilk,PiS
427,Robert Winnicki,Konfederacja
428,Mariusz Witczak,KO
429,Elżbieta Witek,PiS
467,Anna Wojciechowska,KO
430,Grzegorz Wojciechowski,PiS
431,Agata Katarzyna Wojtyszek,PiS
432,Zdzisław Wolski,Lewica
433,Bogusław Wontor,Lewica
434,Michał Woś,PiS
435,Grzegorz Adam Woźniak,PiS
436,Tadeusz Woźniak,PiS
437,Michał Wójcik,PiS
438,Bartłomiej Wróblewski,PiS
439,Michał Wypij,Porozumienie
440,Marek Zagórski,PiS
441,Paweł Zalewski,niez.
442,Adrian Zandberg,Lewica
443,Marcelina Zawisza,Lewica
444,Sławomir Zawiślak,PiS
445,Witold Zembaczyński,KO
446,Piotr Zgorzelski,KP
447,Zbigniew Ziejewski,KP
448,Urszula Zielińska,KO
449,Jarosław Zieliński,PiS
450,Tomasz Zieliński,PiS
451,Piotr Benedykt Zientarski,KO
452,Tomasz Zimoch,Polska2050
453,Zbigniew Ziobro,PiS
454,Wojciech Zubowski,PiS
455,Tadeusz Zwiefka,KO
456,Ireneusz Zyska,PiS
457,Jacek Żalek,PiS
458,Bożena Żelazowska,KP
459,Stanisław Żuk,Kukiz15
460,Anna Maria Żukowska,Lewica
